layouts.navbar.mail,help@busfor.com,,,help@busfor.pl,
layouts.navbar.support,Customer Service,Служба поддержки,Служба підтримки,Obsługa klienta,ฝ่ายบริการลูกค้า
layouts.navbar.schedule.text_1,We are working:,,,Pracujemy w godzinach:,
layouts.navbar.schedule.text_2,Monday - Friday,,,Poniedziałek - Piątek,
layouts.navbar.schedule.text_3,08:00 - 20:00,,,08:00 - 20:00,
layouts.footer.company,About us,О компании,Про компанію,O nas,เกี่ยวกับเรา
layouts.footer.users,For customers,Пользователям,Користувачам,Użytkownicy,สำหรับลูกค้า
layouts.footer.partners,For partners,Партнерам,Партнерам,Partnerzy,สำหรับผู้ประกอบการ
layouts.footer.sales_points,Ticket booths,Кассы,Каси,Kasy,โต๊ะเก็บเงิน
layouts.footer.agreement,Terms and conditions,Договор оферты,Договір оферти,Regulamin,ข้อตกลงการบริการ
layouts.footer.policy,Policy,Политика конфиденциальности,Персональні дані,Polityka,นโยบาย
layouts.footer.guide,Ticketing and boarding,,,,คู่มือ
layouts.footer.contacts,Contacts,Контакты,Контакти,Kontakt,ติดต่อเรา
layouts.footer.about,About us,О нас,Про нас,O nas,เกี่ยวกับเรา
layouts.footer.faq,FAQ,Вопросы и ответы,Питання і відповіді,Pomoc,
layouts.footer.blog,Blog,Блог,,,
layouts.footer.how_to_buy,How to purchase,Как купить,Як придбати,Jak kupić,วิธีซื้อ
layouts.footer.how_to_book,How to book,Как забронировать,Як забронювати,Jak zarezerwować,วิธีจอง
layouts.footer.how_to_return,How to return,Как вернуть,Як повернути,Jak zwrócić,วิธีคืนตั๋ว 
layouts.footer.carriers,For carriers,Перевозчикам,Перевізникам,Przewoźnicy,ผู้ให้บริการเดินรถ
layouts.footer.agents,For agents,Агентам,Агентам,Agencje,ตัวแทนจำหน่าย
layouts.footer.types_of_buses,Types of buses,,,,ประเภทรถโดยสาร
layouts.footer.affiliates,Affiliate program,Партнерская программа,Партнерська програма,Program partnerski,โปรแกรมพันธมิตร
layouts.footer.copyright,"© 2015-%{current_year}, LLC ""Busfor"". All rights reserved. ""Busfor"" - Online ticketing service.","© 2015-%{current_year}, OOO «Busfor». Все права защищены. «Busfor» — Онлайн сервис продажи билетов",,"© 2015-%{current_year}, «Busfor.pl» sp. z o.o. Wszystkie prawa są zastrzeżone. «Busfor.pl» — Serwis sprzedaży biletów autokarowych on-line.","© 2015-%{current_year}, LLC ""Busfor"". สงวนลิขสิทธิ์ ""Busfor"" - บริการจองตั๋วออนไลน์"
layouts.footer.copyright_registration,"© 2015-%{current_year}, LLC ""Busfor"". All rights reserved. ""Busfor"" - Online ticketing service. Company is registered in Poland.",,,"© 2015-%{current_year}, «Busfor.pl» sp. z o.o. Wszystkie prawa są zastrzeżone. «Busfor.pl» — Serwis sprzedaży biletów autokarowych on-line. Spółka jest zarejestrowana w Polsce",
layouts.footer.copyright_company,"© %{current_year}, LLC ""Busfor"".","© %{current_year}, OOO «Busfor».",,"© %{current_year}, «Busfor.pl» sp. z o.o.",
layouts.footer.copyright_description,"All rights reserved. ""Busfor"" - Online ticketing service",Все права защищены. «Busfor» — Онлайн сервис продажи билетов,,Wszystkie prawa są zastrzeżone. «Busfor.pl» — Serwis sprzedaży biletów autokarowych on-line,
layouts.footer.coockie.text_html,"Our websites are using cookies. <a href=""#"" data-toggle=""modal"" data-target=""#checkCoockie"">Learn more</a> about the aim of using them and the change of settings in the browser. Using the website, you agree to the use cookie, according to current the current settings of the browser.",,,"Nasze strony używają cookies. <a href=""#"" data-toggle=""modal"" data-target=""#checkCoockie"">Dowiedz się więcej</a> o celu ich używania i zmianie ustawień w przeglądarce. Korzystając ze strony, wyrażasz zgodę na używanie cookie, zgodnie z aktualnymi ustawieniami przeglądarki.",
layouts.application.generic_title,Online Bus Ticket Booking at Busfor,,,,
layouts.application.generic_description_html,Search and book bus tickets online to anywhere in Europe and Asia. No extra charges. Cheap Bus Reservation Service – Busfor,,,,
application.subscription.free_tips,Want to receive free tips about traveling in Europe directly to your email? Want to hear from us about discounts and promotions?,Мы предлагаем бесплатные советы о выгодных путешествиях. Хотите их получать?,Ми пропонуємо безкоштовні поради про вигідні подорожі по Україні і за кордон. Хочете їх отримувати?,Oferujemy bezpłatne porady w zakresie korzystnych podróży zagranicznych i po Polsce. Chcesz je otrzymywać?,คุณกำลังวางแผนการเดินทางอยู่หรือเปล่า? เรามีบริการให้คำปรึกษาเกี่ยวกับการท่องเที่ยวทั้งในประเทศไทยและต่างประเทศฟรี !
application.subscription.subscribe_to_our_newsletter,"Subscribe to our newsletter and receive interesting news, offers, discounts and promotions directly to your email","Подпишитесь на рассылку, чтобы первым получать интересные предложения, новости и скидки от BUSFOR","Підпишіться на розсилку, щоб першим отримувати цікаві пропозиції, новини та знижки від BUSFOR","Zapisz się do naszego newslettera, żeby jako pierwszy otrzymywać oferty, nowości i rabaty od BUSFOR",สมัครสมาชิกรับข่าวสารจากเรา คุณจะได้รับข้อเสนอสุดพิเศษ ข่าวสาร และส่วนลดจาก BUSFOR เป็นคนแรก
application.subscription.subscribe,Subscribe,Подписаться,Підписатись,Zapisz się,สมัครสมาชิก
application.subscription.confirm_your_email,To confirm your email please click the confirmation link sent to your email.,"Для подтверждения подписки перейдите по ссылке, отправленной на email","Для підтвердження вашої електронної адреси перейдіть, будь ласка, за посиланням, відправленим на email","W celu potwierdzenia skrzynki pocztowej kliknij na link, wysłany na email",เพื่อยืนยันอีเมลของคุณ คลิ๊กลิ้งค์ยืนยันที่ส่งไปยังอินบ็อกซ์ของคุณ
application.subscription.subscribers,subscribers,подписчиков,підписники,subskrybentów,สมาชิก
application.subscription.you_are_subscribed,You’ve been successfully subscribed to Busfor’s newsletter,Вы успешно подписаны на рассылку Busfor,Ви успішно підписані на розсилку Busfor,Pomyślnie zapisałeś się na newsletter Busfor,การลงทะเบียนเพื่อรับจดหมายข่าวสารจาก BUSFOR สำเร็จแล้วค่ะ
application.subscription.wrong_token,Wrong token,Неверный токен,Невірний токен,Nieprawidłowy znacznik,เกิดข้อผิดพลาดขึ้น
application.weather.weather_for_a_week,Weather forecast for a week:,Погода на неделю:,Погода на тиждень:,Pogoda na tydzień:,พยากรณ์อากาศประจำสัปดาห์:
application.weather.today_is,Today,Сегодня,Сьогодні,Dziś,วันนี้
application.weather.average_deg,Average temperature:,Средняя температура:,Середня температура:,Średnia temperatura:,อุณหภูมิเฉลี่ย:
application.weather.clouds,Сhance of precipitation:,Вероятность осадков:,Ймовірність опадів:,Prawdopodobieństwo opadów:,โอกาสเกิดฝน:
application.weather.humidity,Humidity:,Влажность:,Вологість:,Wilgotność:,ความชื้นสัมพัทธ์:
application.weather.wind,Wind:,Ветер:,Вітер:,Wiatr:,กระแสลม:
application.weather.wind_speed,m/s,м/с,м/с,m/s,เมตร/วินาที
application.search.search_validation_msg.from,Select a city of departure,Выберите город отправления,Виберіть місто відправлення,Wybierz miasto wyjazdu,เลือกเมืองต้นทาง
application.search.search_validation_msg.to,Select a city of arrival,Выберите город прибытия,Виберіть місто прибуття,Wybierz miasto przyjazdu,เลือกเมืองปลายทาง
application.search.search_validation_msg.on,Select a date,Выберите дату,Виберіть дату,Wybierz datę,เลือกวันเดินทาง
blog.index.subtitle,Blog about travel and tourism,Блог о путешествиях и туризме,Блог про подорожі та туризм,Blog o podróżach i turystyce,
blog.index.title,Blog about travel and tourism,Блог о путешествиях и туризме,Блог про подорожі та туризм,Blog o podróżach i turystyce,
blog.index.description,Blog about travel and tourism,Блог о путешествиях и туризме,Блог про подорожі та туризм,Blog o podróżach i turystyce,
blog.index.load_more,Load more,Загрузить ещё,Завантажити ще,Załaduj więcej,
blog.search.routes,100 000 routes,31 страна,31 країна,100 000 tras,
blog.search.carriers,20 000 carriers,200 000+ проданных билетов,200 000+ проданих квитків,20 000 przewoźników,
blog.search.stations,5000 stations,20 000 маршрутов,20 000 маршрутів,5000 przystanków,
blog.show.do_share,Share,Рассказать друзьям,Розповісти друзям,Udostępnij,
blog.show.like,Share,поделиться,поділитися,Udostępnij,
blog.show.share,Share,поделиться,поділитися,Udostępnij,
blog.show.ok,Share,поделиться,поділитися,Udostępnij,
blog.show.tweet,Share,твитнуть,твітнути,Udostępnij,
blog.show.all_posts,All posts,Все статьи,Всі статті,Wszystkie posty,
home.index.title,Busfor,Басфор,Басфор,Busfor,Busfor
home.index.description,"",,,,
home.index.keywords,,,,,
home.index.choose_your_route,Choose your route,Выберите направление,Вибиріть напрямок,Prosimy wybrać kierunek,เลือกเส้นทางของคุณ
home.index.page_title,Home,Главная,Головна,Główna,หน้าหลัก
home.header.subtitle_html,Buy your bus tickets online,Билеты на&nbsp;автобус,Квиток на автобуси,Bilety autobusowe,ซื้อตั๋วรถโดยสารออนไลน์
home.header.buy_online_for_five_minutes_html,Buy online <br> in 5 minutes,Покупка онлайн <br>за 5 минут,Покупка онлайн <br>за 5 хвилин,Zakup on-line <br>w ciągu 5 minut,ซื้อตั๋วออนไลน์ <br> ใน 5 นาที
home.header.secure_payment_with_card_html,Safety payment <br>with a credit card,Безопасная <br>оплата картой,Безпечна <br>оплата картою,Bezpieczna <br> płatność kartą,ชำระเงินอย่างปลอดภัย <br> ด้วยบัตรเครดิต
home.header.many_directions_html,More than 300 <br>directions,Более 300 <br>направлений,Більше 300 <br>напрямків,Ponad 100 000 <br>kierunków,มากกว่า <br> 300 เส้นทาง
home.header.support_twenty_four_hour_html,24 hour <br>customer service,Круглосуточная <br>служба поддержки,Цілодобова <br>служба підтримки,Całodobowe <br>call center,บริการลูกค้า <br> 24 ชั่วโมง
home.header.return_without_problems_html,Money back <br>without problems,Возврат <br>без проблем,Повернення <br>без проблем,Bezproblemowy <br>zwrot,คืนเงิน <br> โดยไร้ปัญหา
home.header.get_ticket_online_html,Get ticket <br> online,Получение билета онлайн,Отримання квитка онлайн,Bilet <br>on-line,รับตั๋ว <br> ออนไลน์
home.routes.popular_directions,Popular destinations,Популярные направления,Популярні напрямки,Najpopularniejsze kierunki,เส้นทางยอดนิยม
home.routes.internal,Domestic,Внутренние,Внутрішні,Krajowe,เส้นทางรถโดยสาร
home.routes.international,International,Международные,Міжнародні,Międzynarodowe,เส้นทางเรือเฟอร์รี่
home.recommend.busfor_recommend,Busfor recommends,Басфор рекомендует,Басфор рекомендує,Busfor poleca,เส้นทางยอดนิยม โดย Busfor
home.carriers.carriers_header,Bus tickets - best offers from carriers worldwide,Билеты на автобус — лучшие предложения от перевозчиков по всему миру,Квитки на автобус - кращі пропозиції від перевізників по всьому світу,Bilety autokarowe - najlepsze oferty od przewoźników po całym świecie,ตั๋วรถโดยสาร - ข้อเสนอสุดพิเศษจากผู้ให้บริการเดินรถจากทั่วทุกมุมโลก
home.search_form.from,From,Откуда,Звідки,Skąd,จาก
home.search_form.departure_city,Departure city,Город отправления,Місто відправлення,Miasto wyjazdowe,เมืองต้นทาง
home.search_form.to,To,Куда,Куди,Dokąd,ถึง
home.search_form.arrival_city,Arrival city,Город прибытия,Місто прибуття,Miasto docelowe,เมืองปลายทาง
home.search_form.when,When,Дата,Дата,Data,เมื่อ
home.search_form.departure_date,Departure date,Дата отправления,Дата відправлення,Data wyjazdu,วันออกเดินทาง
home.search_form.passengers,Passengers,Пассажиры,Пасажири,Pasażerowie,ผู้โดยสาร
home.search_form.adults_options.1,1 passenger,1 пассажир,1 пасажир,1 pasażer,ผู้โดยสาร 1 ท่าน
home.search_form.adults_options.2,2 passengers,2 пассажира,2 пасажири,2 pasażerów,ผู้โดยสาร 2 ท่าน
home.search_form.adults_options.3,3 passengers,3 пассажира,3 пасажири,3 pasażerów,ผู้โดยสาร 3 ท่าน
home.search_form.adults_options.4,4 passengers,4 пассажира,4 пасажири,4 pasażerów,ผู้โดยสาร 4 ท่าน
home.search_form.adults_options.5,5 passengers,5 пассажиров,5 пасажирів,5 pasażerów,ผู้โดยสาร 5 ท่าน
home.search_form.adults_options.6,6 passengers,6 пассажиров,6 пасажирів,6 pasażerów,ผู้โดยสาร 6 ท่าน
home.search_form.adults_options.7,7 passengers,7 пассажиров,7 пасажирів,7 pasażerów,ผู้โดยสาร 7 ท่าน
home.search_form.adults_options.8,8 passengers,8 пассажиров,8 пасажирів,8 pasażerów,ผู้โดยสาร 8 ท่าน
home.search_form.adults_options.9,9 passengers,9 пассажиров,9 пасажирів,9 pasażerów,ผู้โดยสาร 9 ท่าน
home.search_form.adults_options.10,10 passengers,10 пассажиров,10 пасажирів,10 pasażerów,ผู้โดยสาร 10 ท่าน
home.search_form.search,Timetable and prices,Расписание и цены,Розклад і ціни,Rozkład i ceny,ตารางเวลาและราคา
home.search_form.search_preload.btn_text,Searching...,Ищем рейсы…,Шукаємо рейси...,Szukamy....,กำลังค้นหา...
home.search_form.search_preload.overlay_text,"We are searching for trips for you, it may take a few seconds","Мы ищем рейсы для вас, это может занять несколько секунд","Ми шукаємо рейси для вас, на це знадобиться декілька секунд","Wyszukujemy dla Ciebie połączenia, może to potrwać kilka sekund",กรุณารอซักครู่ ระบบกำลังค้นหาทริปให้แก่คุณ 
home.top_countries.countries,Countries,Страны,Країни,Kraje,ประเทศ
home.top_countries.all_countries,All countries,Все страны,Всі країни,Wszystkie kraje,ทุกประเทศ
home.old_ie.header,You are using an outdated browser version,Вы используете устаревшую версию браузера,Ви використовуєте застарілу версію браузера,Używasz przestarzałej wersji przeglądarki,คุณกำลังใช้เบราเซอร์เวอร์ชั่นเก่า หากคุณต้องการเข้าถึง
home.old_ie.text,"To use all site features, we recommend you to install an updated version of one of these browsers","Для того, чтобы использовать все возможности сайта, мы рекомендуем вам загрузить обновленную версию одного из следующих браузеров","Для того, щоб використовувати всі можливості сайту, ми рекомендуємо вам встановити оновлену версію одного з наступних браузерів","Aby korzystać ze wszystkich funkcji witryny, zalecamy zainstalować zaktualizowaną wersję jednj z tych przeglądarek",ฟังก์ชั่นทั้งหมดของเว็บไซต์เรา เราแนะนำให้อัพเดตเวอร์ชั่นของเบราเซอร์คุณนะคะ
pages.faq.page_title,Questions and answers,Вопросы и ответы,Запитання та відповіді,Pomoc,
pages.faq.not_found_an_answer,Did not find the answer?,Не нашли ответ?,Не знайшли відповіді?,Nie znalazłeś odpowiedź?,
pages.faq.contact_us,Contact BUSFOR support,Обратитесь в службу поддержки BUSFOR,Зверніться у службу підтримки BUSFOR,Odwołaj się do infolinii BUSFOR,
pages.faq.thanks,Thank you for your message. Support service BUSFOR will contact you in the near future,Спасибо за ваше обращение. Служба поддержки BUSFOR свяжется с вами в ближайшее время,Дякуємо за ваше звернення. Служба підтримки BUSFOR зв'яжеться з вами найближчим часом,Dziękujemy za twoją wiadomość. Służba infolinii BUSFOR zwiąże się z tobą w najbliższym czasie,
pages.about.page_title,About us,О нас,Про нас,O nas,เกี่ยวกับเรา
pages.sales_points.page_title,Ticket booths,Кассы,Каси,Kasy,โต๊ะเก็บเงิน
pages.sales_points.underground,metro,метро,Метро,metro,รถไฟใต้ดิน
pages.agreement.page_title,Terms and conditions,Соглашение публичной оферты,Угода,Regulamin,เงื่อนไขและข้อตกลง
pages.carriers.heading,We welcome motor companies to cooperate on sale of bus tickets at the BUSFOR's website,Приглашаем автотранспортные предприятия к сотрудничеству по продаже автобусных билетов на сайте BUSFOR,Запрошуємо автотранспортні підприємтва до співпраці з продажу автобусних квитків на сайті BUSFOR,Zapraszamy przedsiębiorstwa transportowe do współpracy w zakresie sprzedaży biletów autobusowych na stronie BUSFOR,เรายินดีต้อนรับบริษัทเดินรถเพื่อเป็นหุ้นส่วนร่วมกันในการขายตั๋วรถโดยสารบนเว็บไซต์ของ BUSFOR
pages.carriers.opportunity_title,You will be able to:,У вас появится возможность:,У вас з’явиться можливість:,Uzyskacie Państwo możliwość:,คุณจะได้รับโอกาสที่จะ:
pages.carriers.opportunity_text_1,Increase sales,Увеличить объем продаж,Збільшити обсяг продажів,zwiększenia sprzedaży,เพิ่มยอดขาย
pages.carriers.opportunity_text_2,Reduce marketing and sales costs,Снизить затраты на кассовое обслуживание,Зменшити витрати на касове обслуговування,obniżenia kosztów związanych z obsługą kasową,ลดค่าใช้จ่ายค่าจากค่าบริการที่เกิดขึ้นในขั้นตอนการขาย
pages.carriers.opportunity_text_3,Conduct remote administration,Вести удаленное администрирование,Вести віддалене адміністрування,zdalnego administrowania,บริหารจัดการได้จากระยะไกล
pages.carriers.opportunity_text_4,Control passenger flow,Управлять пассажиропотоком,Керувати пасажиропотоком,dostosowania rozkładu jazdy do ilości pasażerów,ควบคุมปริมาณผู้โดยสาร
pages.carriers.opportunity_text_5,Monitor and analyze sales for improved performance,Анализировать и просматривать отчетность,Аналізувати і переглядати звітність,analizy i wglądu do sprawozdań,ตรวจสอบและวิเคราะห์ข้อมูลเพื่อพัฒนายอดขาย
pages.carriers.contact_us,Contact us:,Свяжитесь с нами:,Зв’яжіться з нами,Prosimy o kontakt:,ติดต่อเราที่:
pages.carriers.ending,BUSFOR - your bus ticket!,BUSFOR – ваш билет на автобус!,BUSFOR – ваш квиток на автобус!,BUSFOR to twój bilet autokarowy!,BUSFOR - ตั๋วรถโดยสารของคุณ!
pages.carriers.thanks,Thank you for your request. We will contact you soon.,Спасибо за ваше обращение. Мы свяжемся с вами в ближайшее время.,Дякуємо за ваше звернення! Ми зв’яжимось з вами найлижчим часом,Dziękujemy za zgłoszenie. Skontaktujemy się z Państwem w najbliższym czasie,ขอบคุณสำหรับติชมของท่าน เราจะติดต่อกลับโดยเร็วที่สุด
pages.agents.heading,We invite agents for cooperation in bus tickets sale,Приглашаем агентов к сотрудничеству по продаже автобусных билетов,Запрошуємо агентів до співпраці з продажу автобусних білетів,,เราขอเชิญตัวแทนจำหน่ายเพื่อการทำงานร่วมกันในการขายตั๋วรถโดยสาร
pages.agents.opportunity_title,You will be able to:,У вас появится возможность:,У вас з'явиться можливість:,,คุณจะได้รับโอกาสที่จะ:
pages.agents.opportunity_text_1,Acquire more customers,Привлечь новых клиентов всех категорий,Залучити нових клієнтів усіх категорій,,ดึงดูดกลุ่มลูกค้าใหม่ ๆ 
pages.agents.opportunity_text_2,Get more revenue,Получить дополнительный доход,Отримати додатковий прибуток,,รับรายได้หลายช่องทาง
pages.agents.opportunity_text_3,Use convenient and easy interface or API,Использовать удобный интерфейс для бронирования или API,Використовувати зручний інтерфейс для бронювання або API,,รับซอฟแวร์จองตั๋ว และ API ที่ใช้งานง่าย
pages.agents.opportunity_text_4,To get access to route network of carriers and bus stations,Получить доступ к маршрутной сети перевозчиков и автовокзалов,Отримати доступ до маршрутної мережі перевізників та автовокзалів,,เข้าถึงเครือข่ายเส้นทางของผู้ให้บริการเดินรถและสถานีรถโดยสาร
